Function,Details
ecdsaSign,catch:{}
setScreenMode,catch:{}
openWebViewUseFastLoad,catch:{}
readCompressedFile,catch:{}
deleteUserAutoFillData,catch:{}
enableLocationUpdate,catch:{}
phoneBindCardEntry,catch:{}
removeXWebLivePlayer,catch:{}
operateRequestTask,catch:{}
operateSocketTask,catch:{}
enableSplashAdHotStart,catch:{}
captureHTMLWebviewFullScreenshot,catch:{}
openRealnameAuth,catch:{}
updateXWebLivePlayer,catch:{}
operateRecentUsageList,catch:{}
getLastLocationCache,catch:{}
queryDownloadTask,catch:{}
readdir,catch:{}
showShareTimelineMenu,catch:{}
updateCapsuleIcon,catch:{}
pauseDownloadTaskForNative,catch:{}
checkHandoffEnabled,catch:{}
removeMapMarkers,catch:{}
getMapScale,catch:{}
showUpdatableMessageSubscribeButton,catch:{}
modifyFinderAccountNickname,catch:{}
jumpRedPacketEnvelopeList,catch:{}
triggerBackgroundFetch,catch:{}
addDownloadTaskStraight,catch:{}
removeMapLines,catch:{}
translateMapMarker,catch:{}
unlink,catch:{}
getInstallState,catch:{}
hideSplashScreenshot,catch:{}
openADCanvas,catch:{}
getWeAppProfileInfo,catch:{}
getWeAppNewTipsInfo,catch:{}
operateXWebLivePlayerBackground,catch:{}
getEncryptHKPasswd,catch:{}
handleBrandPersonalCenterAction,catch:{}
fetchSendingAndFailProfileFeed,catch:{}
minimizeGameLive,catch:{}
releaseInferenceSession,catch:{}
openWeAppProfile,catch:{}
readFile,catch:{}
openTextStateMessage,catch:{}
pauseDownloadTask,catch:{}
openChannelsOrderCenter,catch:{}
logInJava,catch:{}
shareSpecificWxapp,catch:{}
showDatePickerView,catch:{}
returnTakeScreenshot,catch:{}
predownloadMiniProgramPackage,catch:{}
showKeyboard,catch:{}
fetchFinderProfileFeed,catch:{}
restart,catch:{}
setBackgroundAudioState,catch:{}
writeNdefMessage,catch:{}
appendRuntimeContext,catch:{}
cryptoExchangeKey,catch:{}
closeSplashAd,catch:{}
shareGameLive,catch:{}
addBLEPeripheralService,catch:{}
operateXWebVideoBackground,catch:{}
openWeAppAuthManageList,catch:{}
systemLog,catch:{}
getLocalLiveInfo,catch:{}
insertXWebLivePlayer,catch:{}
operateSmStorage,catch:{}
getInstallStateForNative,catch:{}
setNavigateBackInterception,catch:{}
insertXWebLivePusher,catch:{}
refreshSession,catch:{}
openWCPayLQTSave,catch:{}
reportRealtimeAction,catch:{}
updateShareMenuShareTicket,catch:{}
disableLocationUpdate,catch:{}
insertFinderWidget,catch:{}
hasJoinVoIPChat,catch:{}
fs_appendFile,catch:{}
updateShareMenuUpdatable,catch:{}
hideStatusBar,catch:{}
createVestUser,catch:{}
showLiveToast,catch:{}
addDownloadTask,catch:{}
profile,catch:{}
saveWaid,catch:{}
responseClientRequest,catch:{}
private_onWebPageUrlExposed,catch:{}
webTransfer,catch:{}
resumeDownloadTaskForNative,catch:{}
loadVideoResource,catch:{}
setDeviceOrientation,catch:{}
openCTID,catch:{}
openWCExDeviceList,catch:{}
updateKeyboard,catch:{}
NFCSetTimeout,catch:{}
openNewLifeDetail,catch:{}
createAudioInstanceAsync,catch:{}
updateApp,catch:{}
operateSmCrypto,catch:{}
hideSplashScreen,catch:{}
startBLEPeripheralAdvertising,catch:{}
addMapGroundOverlay,catch:{}
showStatusBar,catch:{}
setNavigateBackConfirmDialog,catch:{}
launchApplication,catch:{}
enableAccelerometer,catch:{}
extTransfer,catch:{}
closeBLEPeripheralServer,catch:{}
fromScreenLocation,catch:{}
requestContactDisplayInfo,catch:{}
setAudioState,catch:{}
removeMapCustomLayer,catch:{}
operateXWebVideo,catch:{}
removeMapVisualLayer,catch:{}
startGameLive,catch:{}
preloadLiteApp,catch:{}
operateRealtimeData,catch:{}
loadJsFiles,catch:{}
openAddress,catch:{}
hideNavigationBar,catch:{}
operateNativeView,catch:{}
createWebViewForFastLoad,catch:{}
eraseMapLines,catch:{}
highlightTitleForSinglePage,catch:{}
shareFinderShop,catch:{}
getAppContact,catch:{}
destroyAudioInstance,catch:{}
showNavigationBar,catch:{}
createUploadTaskAsync,catch:{}
openWCPayLQTDetail,catch:{}
shareAppMessage,catch:{}
getPhoneNumber,catch:{}
consumeWCCoin,catch:{}
addMapMarkers,catch:{}
private_setPageOrientation,catch:{}
writeCommData,catch:{}
NFCGetMaxTransceiveLength,catch:{}
getWxCommFont,catch:{}
cryptoRemoveKey,catch:{}
operateMediaContainer,catch:{}
showMultiPickerView,catch:{}
showVirtualBottomNavigationBar,catch:{}
private_openUrl,catch:{}
operateAudio,catch:{}
reportCanvasData,catch:{}
installDownloadTask,catch:{}
openChannelsTopic,catch:{}
updateXWebWebGLCanvas,catch:{}
getMapRegion,catch:{}
getMapSkew,catch:{}
jumpDownloaderWidgetForNative,catch:{}
readZipEntry,catch:{}
downloadPageDataForFastLoad,catch:{}
privateEnterContact,catch:{}
gamelifeManager,catch:{}
nativeWXPayCgiTunnel,catch:{}
addMapArc,catch:{}
addMapControls,catch:{}
isdir,catch:{}
openWCCertHomePage,catch:{}
removeXWebVoIPView,catch:{}
kvReport,catch:{}
operateCallTone,catch:{}
createRequestTaskAsync,catch:{}
operateWxappCGI,catch:{}
addImageToFavorites,catch:{}
operateMediaTrack,catch:{}
resumeDownloadTask,catch:{}
returnCopyUrl,catch:{}
jumpRedPacketEnvelopePreview,catch:{}
chooseMultiWechatChatroom,catch:{}
opNativeRedDot,catch:{}
removeSplashScreenshot,catch:{}
private_addContact,catch:{}
quickSendRedPacket,catch:{}
enableDeviceMotionChangeListening,catch:{}
updateXWebLivePusher,catch:{}
openRedPacketEditPage,catch:{}
writeBLEPeripheralCharacteristicValue,catch:{}
addMapPolygons,catch:{}
moveMapMarkerAlong,catch:{}
getMapRotate,catch:{}
clearAdPushMsg,catch:{}
checkNetworkAPIURL,catch:{}
enterWCCoinHomePage,catch:{}
updateAppContact,catch:{}
cryptoOpen,catch:{}
enableGyroscope,catch:{}
getLiteGameCapsuleWidgetRect,catch:{}
openWeAppSearch,catch:{}
removeXWebVideo,catch:{}
queryDownloadTaskForNative,catch:{}
addMapLines,catch:{}
openNewLifeEditor,catch:{}
adDataReport,catch:{}
goToLiteAppRoam,catch:{}
functionalPageStartGame,catch:{}
endorsementFinished,catch:{}
getUserAutoFillData,catch:{}
operateBackgroundAudio,catch:{}
openChannelsRedPacketPublish,catch:{}
updateMapMarkers,catch:{}
setMapBoundary,catch:{}
openAddressEditor,catch:{}
faceProcessInit,catch:{}
preloadMiniProgramEnv,catch:{}
showShareMenuWithShareTicket,catch:{}
setMapIndoorMaskColor,catch:{}
insertXWebCamera,catch:{}
writeFile,catch:{}
getMapIndoorFloor,catch:{}
pushNativeWebView,catch:{}
showSplashAdMenu,catch:{}
getAudioState,catch:{}
openChannelsPostPage,catch:{}
openWCPayLQTDepositPlanAdd,catch:{}
shareInvitationToLiveRoom,catch:{}
shareTimeline,catch:{}
checkStrangerContactListIsFriend,catch:{}
getAppConfig,catch:{}
shareFinderProduct,catch:{}
private_fileSystemConvert,catch:{}
openLiteApp,catch:{}
noticePerformanceMetrics,catch:{}
operateUploadTask,catch:{}
removeMapGroundOverlay,catch:{}
removeNativeView,catch:{}
updateMultiPickerView,catch:{}
shareAppMessageDirectly,catch:{}
getNpuLibsPath,catch:{}
operateXWebLivePlayer,catch:{}
getGamePerformance,catch:{}
setAlreadyAcceptPrivacyScopeList,catch:{}
openLink,catch:{}
openChannelsRewardedVideoAd,catch:{}
requestWCPayRealnameVerify,catch:{}
choosePhoneNumberAreaCode,catch:{}
operateDownloadTask,catch:{}
cancelDownloadTask,catch:{}
faceProcessStop,catch:{}
insertXWebVideo,catch:{}
publishWeChatStateDirectly,catch:{}
openRedPacket,catch:{}
editTextWithPopForm,catch:{}
updateXWebMap,catch:{}
addToFavorites,catch:{}
rmdir,catch:{}
requestFindPayPwdWay,catch:{}
mkdir,catch:{}
saveSplashScreenshot,catch:{}
splashAdFirstStepViewLayoutStateChange,catch:{}
cancelDownloadTaskForNative,catch:{}
invokeMiniProgramAPI,catch:{}
rewriteRoute,catch:{}
openFinderProfile,catch:{}
sendRedCoverAppMsg,catch:{}
batchPreloadMiniProgram,catch:{}
operateXWebLivePusher,catch:{}
hideShareTimelineMenu,catch:{}
operateMusicPlayer,catch:{}
loadLibFiles,catch:{}
showSplashAd,catch:{}
isNFCTechConnected,catch:{}
verifyPlugin,catch:{}
NFCGetSak,catch:{}
updateShareMenuToDo,catch:{}
showSystemSheetMenu,catch:{}
setAcquireWebviewDom,catch:{}
removeBLEPeripheralService,catch:{}
toScreenLocation,catch:{}
setStatusBarStyle,catch:{}
collectWepalm,catch:{}
startNFCDiscovery,catch:{}
disableScrollBounce,catch:{}
handleMPChannelAction,catch:{}
unzip,catch:{}
splashAdAllViewLayoutStateChange,catch:{}
setTingAudioState,catch:{}
setMenuStyle,catch:{}
getWCCoinBalance,catch:{}
pageNotFoundCallback,catch:{}
batchGetContact,catch:{}
updateShareMenuDynamic,catch:{}
reportSubmitForm,catch:{}
setSecuritySnapshotStrategy,catch:{}
isSupportNFC,catch:{}
getIPAddress,catch:{}
enableCompass,catch:{}
addMapVisualLayer,catch:{}
NFCClose,catch:{}
initMapMarkerCluster,catch:{}
jumpToWCPayMessage,catch:{}
getDownloadWidgetTaskInfoForNative,catch:{}
operateSmCryptoSensitive,catch:{}
moveToMapLocation,catch:{}
createDownloadTaskAsync,catch:{}
insertXWebWebGLCanvas,catch:{}
cryptoGetGeneratedKeys,catch:{}
operateWxappStarItem,catch:{}
openWCCardHomePage,catch:{}
openBizProfile,catch:{}
stat,catch:{}
getGameLivePermission,catch:{}
openWeComUserProfileForFakeNative,catch:{}
updateXWebVideo,catch:{}
openWeRunSetting,catch:{}
operateRecorder,catch:{}
bindSocketToNetwork,catch:{}
includeMapPoints,catch:{}
highlightBottomBanner,catch:{}
getOAID,catch:{}
saveInitialRenderingCache,catch:{}
cryptoCompute,catch:{}
getFinderAccount,catch:{}
enterGameLiveRoom,catch:{}
getMusicPlayerState,catch:{}
addDownloadTaskForNative,catch:{}
setUserAutoFillData,catch:{}
insertXWebMap,catch:{}
openWeAppStarList,catch:{}
fs_copyFile,catch:{}
notifyDcpPaymentCallback,catch:{}
shareFinderEndorsementToFriend,catch:{}
buyWCCoin,catch:{}
executeMapVisualLayerCommand,catch:{}
setMapIndoorFloor,catch:{}
stopNFCDiscovery,catch:{}
openHKOfflinePayView,catch:{}
sendRedPacket,catch:{}
postMessageToMagicBrushFrame,catch:{}
modifyFinderAccountAvatar,catch:{}
startHandoff,catch:{}
shareImageMessage,catch:{}
runInferenceSession,catch:{}
addMapCircles,catch:{}
removeXWebWebGLCanvas,catch:{}
sendDataToH5,catch:{}
insertNativeView,catch:{}
showAddressPickerView,catch:{}
rtosWatchQuickReply,catch:{}
subscribeVoIPMembers,catch:{}
removeXWebMap,catch:{}
updateNativeView,catch:{}
updateXWebCamera,catch:{}
openWCPayLQTDepositPlan,catch:{}
setVolume,catch:{}
NFCGetAtqa,catch:{}
installDownloadTaskForNative,catch:{}
hideVirtualBottomNavigationBar,catch:{}
getAdPushMsg,catch:{}
createFinderAccount,catch:{}
operateGlobalMonitoredBluetoothDevice,catch:{}
requestSnsPayment,catch:{}
getRegionData,catch:{}
roamApiChannel,catch:{}
getRecentUsageList,catch:{}
callbackDataToNative,catch:{}
showPickerView,catch:{}
requestOfflineUserBindQuery,catch:{}
cryptoOperate,catch:{}
fs_rename,catch:{}
NFCGetHistoricalBytes,catch:{}
setAppSnapshotStrategy,catch:{}
openMapApp,catch:{}
insertMagicBrushFrame,catch:{}
showSalesDrivingMenu,catch:{}
recordOperateUserDataInWa,catch:{}
operateTingAudio,catch:{}
NFCConnect,catch:{}
setMapCenterOffset,catch:{}
removeMapArc,catch:{}
removeXWebLivePusher,catch:{}
setFileSpaceStatistics,catch:{}
updateMapGroundOverlay,catch:{}
deleteWeAppNewTipsInfo,catch:{}
requestAuthUserAutoFillData,catch:{}
updateXWebVoIPView,catch:{}
setKeyboardValue,catch:{}
NFCTransceive,catch:{}
adOperateWXData,catch:{}
deleteFinderDataItem,catch:{}
stopBLEPeripheralAdvertising,catch:{}
cryptoGenerateKey,catch:{}
exitGameLive,catch:{}
removeXWebCamera,catch:{}
requestSRFile,catch:{}
getMapCenterLocation,catch:{}
private_getBackgroundFetchData,catch:{}
insertXWebVoIPView,catch:{}
openWeAppHistoryList,catch:{}
removeTextArea,catch:{}
operateLocalServicesScan,catch:{}
finishLoading,catch:{}
access,catch:{}
setMapLocMarkerIcon,catch:{}
removeMagicBrushFrame,catch:{}
getVolume,catch:{}
reportPageData,catch:{}
showWCCoinFirstBuyCoinTips,catch:{}
gameLiveInfoControl,catch:{}
addMapCustomLayer,catch:{}
showImageOperateSheet,catch:{}
loadWAFile,catch:{}
